RUS;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_ADJ;Muscovite;Muscovite;Muscovite;;;;;;;;;;;x;
RUS_proletarian_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_presidential_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_bourgeois_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_fascist_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_absolute_monarchy;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_prussian_constitutionalism;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_hms_government;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
RUS_democracy;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
