GPT_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
