CAY_ADJ;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_proletarian_dictatorship;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_presidential_dictatorship;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_bourgeois_dictatorship;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_fascist_dictatorship;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_absolute_monarchy;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_prussian_constitutionalism;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_hms_government;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_democracy;Cayuga;Cayuga;Cayuga;;;;;;;;;;;x;
CAY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CAY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CAY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CAY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CAY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CAY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CAY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CAY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CAY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
