OUE_ADJ;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_proletarian_dictatorship;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_presidential_dictatorship;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_bourgeois_dictatorship;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_fascist_dictatorship;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_absolute_monarchy;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_prussian_constitutionalism;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_hms_government;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_democracy;Ouedraogo;Ouedraogo;Ouedraogo;;;;;;;;;;;x;
OUE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
OUE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
OUE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
OUE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
OUE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
OUE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
OUE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
OUE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
OUE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
